,author,published_at,updated_at,like_count,text
157,@TheOG7262,2024-09-06T10:40:37Z,2024-09-06T10:40:37Z,0,Mere ko de do
158,@user-ev1hy5rp5f,2024-09-06T10:19:58Z,2024-09-06T10:19:58Z,0,The last girl is so innocent and party ❤
159,@bidonn6999,2024-09-06T10:12:41Z,2024-09-06T10:12:41Z,1,Wifi band karne wali advice😂😂😂
160,@anmolkumar8500,2024-09-06T10:09:22Z,2024-09-06T10:09:22Z,1,Next episode Kab aayaga bhai. Juldi dalo❤
161,@KidzTv-fv5wc,2024-09-06T10:06:43Z,2024-09-06T10:06:43Z,0,Lpg 😂
162,@ArfinJihad,2024-09-06T10:04:57Z,2024-09-06T10:09:22Z,0,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=2270"">37:50</a> jiske liye ap idhar ho 😂😂😂😂<br>Toh fir Wi-Fi kyu lagaya hai 🤦‍♂️🤣🤣🤣<br>Naman arora Started from here 😅😅"
163,@receivercandidate9290,2024-09-06T09:52:57Z,2024-09-06T09:52:57Z,0,BC Samay ka muh dekh kr hi hasi aati h 😂
164,@ShahKaif-n9n,2024-09-06T09:31:38Z,2024-09-06T09:31:38Z,1,"<a href=""https://www.youtube.com/watch?v=m3O1lnPJszk&amp;t=1663"">27:43</a> start of the worst standup I have ever seen"
165,@samujwalbhattacharjee3095,2024-09-06T09:24:33Z,2024-09-06T09:24:33Z,1,New ep when ?
166,@yaikhombachongtham2118,2024-09-06T09:06:46Z,2024-09-06T09:06:46Z,0,Crazyyyyy samay bhai. What an innovative way to give them platform and recognition. More power to the upcoming talents *latents*.
167,@Zeronenine019,2024-09-06T09:04:29Z,2024-09-06T09:04:29Z,1,Love you samay bhaii... ❤❤❤<br>Kya boltee ho yrr ...top class humor😂
168,@jugumunda7748,2024-09-06T08:50:56Z,2024-09-06T08:50:56Z,0,Naman arora🔥🔥🔥💥💥💥
169,@Justdeshbhakt,2024-09-06T08:46:35Z,2024-09-06T08:46:35Z,0,Mujhe bhi chahiye pass
170,@arvindnayak1584,2024-09-06T08:25:37Z,2024-09-06T08:25:37Z,0,"They way brother Naman Arora delivers the words , it&#39;s more than comic. So so so funny. Thanks Samay bhai for finding such a beautiful talent. Truly A STAR IS BORN. :)"
171,@bengiaekha1370,2024-09-06T08:23:21Z,2024-09-06T08:23:48Z,0,Even the security wished naman arora with sparkles...man he is too good.
172,@Gursimarnoob,2024-09-06T08:22:21Z,2024-09-06T08:22:21Z,1,Naman aane vale samay ka samay hai yrr🎉🎉
173,@Anjali_singh2106,2024-09-06T08:21:35Z,2024-09-06T08:21:35Z,1,ARPIT BALA AND BHAPPA KO BHI SHOW PE BHULAO
